"Get Config","Konfiguration laden",module,RatePAY_Payment
"Request Failed","Request Failed",module,RatePAY_Payment
"Country not supported by credentials","Das aktuelle Land wird durch diese Konfiguration nicht unterstützt",module,RatePAY_Payment
"Interest Rate not supported by payment method","Zahlungsart unterstützt nur 0%-Ratenkonfiguration",module,RatePAY_Payment
"dob data invalid","Bitte überprüfen Sie ihre Eingabe. Für die gewählte Zahlungsart müssen Sie mindestens 18 Jahre alt sein und das Geburtsdatum muss in dem Format TT.MM.JJJJ vorliegen.",module,RatePAY_Payment
"dob too low","Für die gewählte Zahlungsart müssen Sie mindestens 18 Jahre alt sein.",module,RatePAY_Payment
"dob too high","Bitte überprüfen Sie ihre Eingabe. Für die gewählte Zahlungsart müssen Sie mindestens 18 Jahre alt sein und das Geburtsdatum muss in dem Format TT.MM.JJJJ vorliegen.",module,RatePAY_Payment
"iban data invalid","Bitte geben Sie eine gültige IBAN ein.",module,RatePAY_Payment
"phone data invalid","Bitte geben Sie Ihre Telefonnummer ein.",module,RatePAY_Payment
"phone not valid","Bitte geben Sie, für die gewählte Zahlungsart, eine gültige Telefonnummer an.",module,RatePAY_Payment
"PROD credentials in sandbox mode","Sie beabsichtigen Live-Zugangsdaten für den Test-Betrieb zu verwenden. Möchten Sie fortfahren?",module,RatePAY_Payment
"INT credentials in live mode","Sie beabsichtigen Test-Zugangsdaten für den Live-Betrieb zu verwenden. Möchten Sie fortfahren?",module,RatePAY_Payment
"No Ajax Connection","No Ajax Connection",module,RatePAY_Payment
"Sandbox Notifcation","Sandbox Notifcation",module,RatePAY_Payment
"Tax/VAT number","Tax/VAT number",module,RatePAY_Payment
Alter,Ändern,module,RatePAY_Payment
Phone,Telefon,module,RatePAY_Payment
"Date of Birth","Geburtsdatum",module,RatePAY_Payment
Day,Tag,module,RatePAY_Payment
Month,Monat,module,RatePAY_Payment
Year,Jahr,module,RatePAY_Payment
DD,TT,module,RatePAY_Payment
MM,MM,module,RatePAY_Payment
YYYY,JJJJ,module,RatePAY_Payment
"Creditor","Gläubiger-ID: ",module,RatePAY_Payment
"Ratepay Creditor ID","DE39RPY00000568463",module,RatePAY_Payment
"insert bankdata","Bitte geben Sie Ihre Bankdaten ein.",module,RatePAY_Payment
"Account holder","Kontoinhaber: ",module,RatePAY_Payment
IBAN,IBAN,module,RatePAY_Payment
"Mandate","Mandatsreferenz: ",module,RatePAY_Payment
"Mandate Ref","(wird nach Kaufabschluss übermittelt)",module,RatePAY_Payment
ratepay_directdebit_sepa_link,Einwilligungserklärung zum SEPA-Mandat lesen,module,RatePAY_Payment
ratepay_directdebit_sepa_terms_block_1,Ich willige hiermit in die Weiterleitung meiner Daten an ,module,RatePAY_Payment
"Ratepay address","RatePAY GmbH, Franklinstraße 28-29, 10587 Berlin",module,RatePAY_Payment
ratepay_directdebit_sepa_terms_block_2,gemäß ,module,RatePAY_Payment
ratepay_directdebit_sepa_terms_block_3,"ein und ermächtige diese, mit diesem Kaufvertrag in Zusammenhang stehende Zahlungen von meinem o.a. Konto mittels Lastschrift einzuziehen. Zugleich weise ich mein Kreditinstitut an, die von RatePAY GmbH auf mein Konto gezogenen Lastschriften einzulösen.",module,RatePAY_Payment
ratepay_directdebit_sepa_notice_block_1,Hinweis:,module,RatePAY_Payment
ratepay_directdebit_sepa_notice_block_2,Nach Zustandekommen des Vertrags wird mir die Mandatsreferenz von RatePAY mitgeteilt.,module,RatePAY_Payment
ratepay_directdebit_sepa_notice_block_3,"Ich kann innerhalb von acht Wochen, beginnend mit dem Belastungsdatum, die Erstattung des belasteten Betrages verlangen. Es gelten dabei die mit meinem Kreditinstitut vereinbarten Bedingungen.",module,RatePAY_Payment
"Place Order","Zahlungspflichtig bestellen",module,RatePAY_Payment
"Vat ID","USt-IdNr.",module,RatePAY_Payment
"Phone Number","Telefonnummer",module,RatePAY_Payment
"b2b not allowed","Diese Zahlungsart steht für Geschäftskunden nicht zur Verfügung.",module,RatePAY_Payment
"ala not allowed","Um diese Zahlungsart zu nutzen, muss die Lieferadresse der Rechnungsadresse entsprechen.",module,RatePAY_Payment
Ratepay,Ratepay,module,RatePAY_Payment
Germany,Deutschland,module,RatePAY_Payment
Invoice,Rechnung,module,RatePAY_Payment
Enabled,Aktiviert,module,RatePAY_Payment
ProfileID,ProfileID,module,RatePAY_Payment
"Security Code","Security Code",module,RatePAY_Payment
"Activate Sandbox","Sandbox aktivieren",module,RatePAY_Payment
"Status RatePAY","Status RatePAY",module,RatePAY_Payment
Title,Titel,module,RatePAY_Payment
"Specific Countries Billing","Länderauswahl Rechnung",module,RatePAY_Payment
"Specific Countries Delivery","Länderauswahl Versand",module,RatePAY_Payment
Currency,Währung,module,RatePAY_Payment
Minimum Order Total,Mindestbestellwert,module,RatePAY_Payment
Maximum Order Total,Höchstbestellwert,module,RatePAY_Payment
"Due Days","Dynamische Fälligkeit",module,RatePAY_Payment
B2B,B2B,module,RatePAY_Payment
"Maximum Oder Total B2B","Höchstbestellwert B2B",module,RatePAY_Payment
"Delivery Address","Abweichende Lieferadresse",module,RatePAY_Payment
"Payment Fee","RatePAY Zahlungsartenaufschlag",module,RatePAY_Payment
"New Order Status","Neuer Bestellstatus",module,RatePAY_Payment
"Sort Order","Sort Order",module,RatePAY_Payment
"Direct Debit","SEPA-Lastschrift",module,RatePAY_Payment
"RatePAY-Datenschutzerklärung Url","RatePAY-Datenschutzerklärung Url",module,RatePAY_Payment
Installment,Ratenzahlung,module,RatePAY_Payment
Rate min,Minimumrate,module,RatePAY_Payment
"Month Allowed","Laufzeiten (in Monaten)",module,RatePAY_Payment
"0% Financing","0% Finanzierung",module,RatePAY_Payment
Austria,Österreich,module,RatePAY_Payment
Switzerland,Schweiz,module,RatePAY_Payment
RatePAY Invoice,RatePAY Rechnung,module,RatePAY_Payment
RatePAY Directdebit,RatePAY SEPA-Lastschrift,module,RatePAY_Payment
RatePAY Installment,RatePAY Rate,module,RatePAY_Payment
RatePAY 0% Financing,RatePAY 0% Finanzierung,module,RatePAY_Payment
Active,Aktiv,module,RatePAY_Payment
Inactive,Inaktiv,module,RatePAY_Payment
Phased Out,Abgelaufen,module,RatePAY_Payment
"Automated Data Procedure Error","Leider ist eine Bezahlung mit RatePAY nicht möglich. Diese Entscheidung ist auf Grundlage einer automatisierten Datenverarbeitung getroffen worden. Einzelheiten finden sie in den zusätzlichen Allgemeinen Geschäftsbedingungen und dem Datenschutzhinweis für RatePAY-Zahlungsarten.",module,RatePAY_Payment
ratepay_terms_block_1, "Es gelten die" ,module,RatePAY_Payment
ratepay_terms_block_2, "zusätzlichen Geschäftsbedingungen und der Datenschutzhinweis" ,module,RatePAY_Payment
ratepay_terms_block_3, "der RatePAY GmbH" ,module,RatePAY_Payment
