"Get Config","Get Config",module,RatePAY_Payment
"Request Failed","Request Failed",module,RatePAY_Payment
"Country not supported by credentials","Country not supported by credentials",module,RatePAY_Payment
"Interest Rate not supported by payment method","Interest Rate not supported by payment method",module,RatePAY_Payment
"dob data invalid","Om door Ratepay een betaling op rekening door te kunnen voeren, gelieve hier uw geboortedatum invoeren. ",module,RatePAY_Payment
"iban data invalid","Vul een geldige IBAN in.",module,RatePAY_Payment
"phone data invalid","Vul een geldig telefoonnummer in.",module,RatePAY_Payment
"phone not valid","Om door Ratepay een betaling op rekening door te kunnen voeren, gelieve hier uw geboortedatum invoeren. ",module,RatePAY_Payment
"b2b not allowed","Deze betaalmethode is niet beschikbaar voor zakelijke klanten.",module,RatePAY_Payment
"ala not allowed","Om deze betaalmethode te gebruiken moet het factuuradres overeenstemmen met het afleveradres.",module,RatePAY_Payment
"PROD credentials in sandbox mode","PROD credentials in sandbox mode",module,RatePAY_Payment
"INT credentials in live mode","INT credentials in live mode",module,RatePAY_Payment
"No Ajax Connection","No Ajax Connection",module,RatePAY_Payment
"Sandbox Notifcation","Sandbox Notifcation",module,RatePAY_Payment
"Missing contact informations","Missing contact informations",module,RatePAY_Payment
"Tax/VAT number","Tax/VAT number",module,RatePAY_Payment
Alter,Alter,module,RatePAY_Payment
Phone,Phone,module,RatePAY_Payment
"Date of Birth","Geboortedatum",module,RatePAY_Payment
Day,Day,module,RatePAY_Payment
Month,Month,module,RatePAY_Payment
Year,Year,module,RatePAY_Payment
DD,DD,module,RatePAY_Payment
MM,MM,module,RatePAY_Payment
YYYY,YYYY,module,RatePAY_Payment
"Ratepay address","Ratepay address",module,RatePAY_Payment
"Creditor","Creditor: ",module,RatePAY_Payment
"Ratepay Creditor ID","DE39RPY00000568463",module,RatePAY_Payment
Mandate,Mandate,module,RatePAY_Payment
"Mandate Ref","Mandate Ref",module,RatePAY_Payment
"insert bankdata","Vul uw bankgegevens in",module,RatePAY_Payment
"Account holder","Rekeninghouder *",module,RatePAY_Payment
IBAN,"IBAN / rekeningnummer *",module,RatePAY_Payment
"Mandate","Incassant ID: ",module,RatePAY_Payment
"Mandate Ref","(is transmitted after sale)",module,RatePAY_Payment
"ratepay_directdebit_sepa_link","Lees de toestemmingsverklaring voor het SEPA-mandaat.",module,RatePAY_Payment
ratepay_directdebit_sepa_terms_block_1,Ik ga hiermee akkoord met het overdragen van mijn gegevens aan ,module,RatePAY_Payment
"Ratepay address","Ratepay GmbH, Schlüterstr. 39, 10629 Berlin",module,RatePAY_Payment
ratepay_directdebit_sepa_terms_block_2,volgens het ,module,RatePAY_Payment
ratepay_directdebit_sepa_terms_block_3,"het Ratepay Privacybeleid en machtig hen de betalingen in samenhang met deze koopovereenkomst middels een incasso van bovengenoemde rekening af te boeken. Gelijktijdig geef ik mijn kredietinstelling opdracht de incasso’s van Ratepay GmbH op mijn rekening te honoreren.",module,RatePAY_Payment
ratepay_directdebit_sepa_notice_block_1,Opmerking:,module,RatePAY_Payment
ratepay_directdebit_sepa_notice_block_2,Na het tot stand komen van deze overeenkomst wordt u het Ratepay machtigingskenmerk medegedeeld.,module,RatePAY_Payment
ratepay_directdebit_sepa_notice_block_3,"Ik kan binnen acht weken, na afschrijving, het bedrag laten terugboeken. Hierbij gelden de met mijn kredietinstelling overeengekomen voorwaarden.",module,RatePAY_Payment
"Place Order","Place Order",module,RatePAY_Payment
"Vat ID","Vat ID",module,RatePAY_Payment
"Phone Number","Telefoonnummer",module,RatePAY_Payment
Ratepay,Ratepay,module,RatePAY_Payment
Germany,Germany,module,RatePAY_Payment
Invoice,Invoice,module,RatePAY_Payment
Enabled,Enabled,module,RatePAY_Payment
ProfileID,ProfileID,module,RatePAY_Payment
"Security Code","Security Code",module,RatePAY_Payment
"Activate Sandbox","Activate Sandbox",module,RatePAY_Payment
"Status Ratepay","Status Ratepay",module,RatePAY_Payment
Title,Title,module,RatePAY_Payment
"Specific Countries Billing","Specific Countries Billing",module,RatePAY_Payment
"Specific Countries Delivery","Specific Countries Delivery",module,RatePAY_Payment
Currency,Currency,module,RatePAY_Payment
"Minimum Order Total","Minimum Order Total",module,RatePAY_Payment
"Maximum Order Total","Maximum Order Total",module,RatePAY_Payment
"Due Days","Due Days",module,RatePAY_Payment
B2B,B2B,module,RatePAY_Payment
"Maximum Order Total B2B","Maximum Order Total B2B",module,RatePAY_Payment
"Delivery Address","Delivery Address",module,RatePAY_Payment
"Payment Fee","Payment Fee",module,RatePAY_Payment
"New Order Status","New Order Status",module,RatePAY_Payment
"Sort Order","Sort Order",module,RatePAY_Payment
"Direct Debit","Direct Debit",module,RatePAY_Payment
"Maximum Oder Total","Maximum Oder Total",module,RatePAY_Payment
"Nur SEPA/IBAN Kontodaten","Nur SEPA/IBAN Kontodaten",module,RatePAY_Payment
"Ratepay-Datenschutzerklärung Url","Ratepay-Privacypolicy Url",module,RatePAY_Payment
Austria,Austria,module,RatePAY_Payment
Switzerland,Switzerland,module,RatePAY_Payment
"Automated Data Procedure Error","Helaas is een betaling met de gekozen betaalmethode Factuur niet mogelijk. Dit besluit is genomen op basis van een geautomatiseerde gegevenscontrole.",module,RatePAY_Payment
ratepay_terms_block_1, "Voor deze betalingsmethode gelden" ,module,RatePAY_Payment
ratepay_terms_block_2, "aanvullende algemene voorwaarden en de privacyverklaring" ,module,RatePAY_Payment
ratepay_terms_block_3, "." ,module,RatePAY_Payment
"rp_calculation_intro_part1","Im Folgenden können Sie entscheiden, wie Sie die Ratenzahlung gestalten möchten. Legen Sie bequem die Anzahl der Raten und somit ",module,RatePAY_Payment
"rp_calculation_intro_part2","die Laufzeit",module,RatePAY_Payment
"rp_calculation_intro_part3"," der Ratenzahlung fest. Oder bestimmen sie einfach die gewünschte ",module,RatePAY_Payment
"rp_calculation_intro_part4","monatliche Ratenhöhe.",module,RatePAY_Payment
"rp_runtime_title","Runtime",module,RatePAY_Payment
"rp_runtime_description", "Amount of monthly installments",module,RatePAY_Payment
"rp_rate_title","Installment amount",module,RatePAY_Payment
"rp_rate_description","Amount of the monthly installment",module,RatePAY_Payment
"rp_calculate_rate","Calculate installment",module,RatePAY_Payment
"rp_personal_calculation","Personal calculation",module,RatePAY_Payment
"rp_reason_code_translation_603","Die Wunschrate entspricht den vorgegebenen Bedingungen.",module,RatePAY_Payment
"rp_reason_code_translation_671","Die letzte Rate war niedriger als erlaubt. Laufzeit und/oder Rate wurden angepasst.",module,RatePAY_Payment
"rp_reason_code_translation_688","Die Rate war niedriger als f&uuml;r Ratenpl&auml;ne mit langer Laufzeit erlaubt. Die Laufzeit wurde angepasst.",module,RatePAY_Payment
"rp_reason_code_translation_689","Die Rate war niedriger als f&uuml;r Ratenpl&auml;ne mit kurzer Laufzeit erlaubt. Die Laufzeit wurde angepasst.",module,RatePAY_Payment
"rp_reason_code_translation_695","Die Rate ist zu hoch f&uuml;r die minimal verf&uuml;gbare Laufzeit. Die Rate wurde verringert.",module,RatePAY_Payment
"rp_reason_code_translation_696","Die Wunschrate ist zu niedrig. Die Rate wurde erh&ouml;ht.",module,RatePAY_Payment
"rp_reason_code_translation_697","F&uuml;r die gew&auml;hlte Ratenh&ouml;he ist keine entsprechende Laufzeit verf&uuml;gbar. Die Ratenh&ouml;he wurde angepasst.",module,RatePAY_Payment
"rp_reason_code_translation_698","Die Rate war zu niedrig f&uuml;r die maximal verf&uuml;gbare Laufzeit. Die Rate wurde erh&ouml;ht.",module,RatePAY_Payment
"rp_reason_code_translation_699","Die Rate ist zu hoch f&uuml;r die minimal verf&uuml;gbare Laufzeit. Die Rate wurde verringert.",module,RatePAY_Payment
